speaker,videos,average_popularity_score,viral_rate,viral_consistency,viral_presence,wikipedia_numeric,comprehensive_popularity_score
Nathalia Holt,2,37.51,0.0,0,0,1,5.900250283560675
Carl Safina,2,436.67,0.0,0,0,1,6.616116248565351
Nathan Wolfe,2,259.54,0.0,0,0,1,6.298445794658952
Natsai Audrey Chieza,2,664.44,0.0,0,0,1,7.024606054280142
Negin Farsad,2,579.33,0.0,0,0,1,6.871967131839145
Neil Gershenfeld,2,156.07,0.0,0,0,1,6.1128794768940615
Achim Steiner,2,438.27,0.0,0,0,1,6.618985738353926
Edward Burtynsky,2,156.66,0.0,0,0,1,6.113937601253598
Nicholas Christakis,2,249.27,0.0,0,0,1,6.2800272570785385
Hannah Fry,2,878.9,0.0,0,0,1,7.409225291816222
Eric Lewis,2,107.59,0.0,0,0,0,0.19257863343572032
Nick Hanauer,2,1710.46,50.0,1,1,1,27.233973252614586
Edward Tenner,2,592.34,0.0,0,0,0,1.061944367817965
Nigel Topping,2,693.9,0.0,0,0,0,1.2440852321477447
Nili Gilbert,2,1063.01,0.0,0,0,0,1.9060585920607518
Jedidah Isler,2,511.84,0.0,0,0,1,6.750928465694828
Nir Eyal,2,560.12,0.0,0,0,1,6.8375153200650685
Nita Farahany,2,1076.56,0.0,0,0,1,7.763714886572272
Noah Feldman,2,392.97,0.0,0,0,1,6.537743308714905
Noah Wilson-Rich,2,500.26,0.0,0,0,0,0.8968052304854902
Nora Flanagan,2,529.88,0.0,0,0,0,0.9499266601964793
OK Go,2,427.59,0.0,0,0,1,6.59983189401519
Olafur Eliasson,2,115.66,0.0,0,0,1,6.040406925421371
Olivia Remes,2,1713.96,50.0,1,1,0,21.406894958662562
Paola Antonelli,2,235.74,0.0,0,0,1,6.255762134053904
Parag Khanna,2,700.48,0.0,0,0,1,7.089241311767785
Pardis Parker,2,207.37,0.0,0,0,1,6.2048824932402376
Pardis Sabeti,2,716.76,0.0,0,0,1,7.118438370366532
Pat Mitchell,2,792.24,0.0,0,0,1,7.253806551142546
Patrick Chappatte,2,221.19,0.0,0,0,1,6.229667711289052
Patty McCord,2,957.74,0.0,0,0,1,7.550619401148243
Garry Kasparov,2,1160.32,0.0,0,0,1,7.913932677004157
Paul Collier,2,176.4,0.0,0,0,1,6.149339931520139
Paul MacCready,2,88.06,0.0,0,0,1,5.9909082265684575
Paul Romer,2,113.1,0.0,0,0,1,6.035815741759652
Paul Rothemund,2,107.28,0.0,0,0,1,6.025377972653711
Andrew Bastawrous,2,438.82,0.0,0,0,0,0.7866168226042213
Fei-Fei Li,2,1610.47,50.0,1,1,1,27.05464807513984
Beau Lotto,2,798.37,0.0,0,0,1,7.264800283895021
Peter Gabriel,2,164.29,0.0,0,0,1,6.127621480682864
Phil Plait,2,654.33,0.0,0,0,1,7.006474465678584
Johanna Blakley,2,275.26,0.0,0,0,0,0.4932832289671714
Andrew McAfee,2,695.34,0.0,0,0,1,7.080023075821989
Gordon Brown,2,184.76,0.0,0,0,1,6.164333015665442
Eric Topol,2,276.7,0.0,0,0,1,6.329221072641417
Raffaello D'Andrea,2,3030.99,100.0,2,1,1,47.935655227112555
Andrew Ng,2,1305.28,50.0,1,1,1,26.50731083228039
Eric Whitacre,2,611.71,0.0,0,0,1,6.930038431435424
Rashad Robinson,2,692.17,0.0,0,0,1,7.074337899178376
Raul Midon,2,76.42,0.0,0,0,1,5.970032688356577
Andrew Pelling,2,353.95,0.0,0,0,1,6.467763626496039
