,speaker,video_ids,videos,views,topics,average_views
2610,Lambers Fisher,[132679],1,618757,"['love, psychology, relationships, communication, community, family, TEDx, emotions']",618757.0
2611,Lamin Jassey,[147773],1,390835,"['culture, food, Africa, fish, future, community, society, Countdown, ocean']",390835.0
2612,Lana Mazahreh,[8418],1,1360726,"['climate change, environment, social change, future, activism, water, public health, society']",1360726.0
2613,Lana Yarosh,[4233],1,10601,"['technology, relationships, parenting, family, kids']",10601.0
2614,Laolu Senbanjo,[2863],1,1051319,"['performance, Africa, creativity, art, beauty']",1051319.0
2615,Laprisha Berry Daniels,[121638],1,619815,"['climate change, sustainability, cities, history, community, society, Countdown']",619815.0
2616,Lara Durgavich,[60405],1,2153074,"['science, genetics, evolution, biology, history, medicine, anthropology, TEDx']",2153074.0
2617,Lara Maiklem,[52476],1,13606,"['culture, history, society, rivers']",13606.0
2618,Lara Setrakian,[2687],1,1360620,"['global issues, entrepreneur, innovation, communication, community, women, writing, society, Internet, Middle East, journalism, ebola, refugees, ocean']",1360620.0
4702,Yoruba Richen,[2016],1,863872,"['gender, activism, film, race, equality, LGBTQIA+']",863872.0
2620,Larry Burns,[411],1,692641,"['sustainability, technology, design, transportation, future, energy, renewable energy']",692641.0
2621,Larry Irvin,[83539],1,1857935,"['education, social change, community, United States, personal growth, TED Fellows, teaching, kids']",1857935.0
2622,Larry Page,[1953],1,2894616,"['business, AI, algorithm']",2894616.0
2623,Larry Smith,[1384],1,7372029,"['business, happiness, success, personal growth, TEDx, goals']",7372029.0
2624,Lars Fæste,[5156],1,19167,"['business, innovation, leadership']",19167.0
2625,Lars Jönsson,[31234],1,3096,"['music, performance']",3096.0
54,Adar Cohen,[52545],1,503576,"['communication, language, society']",503576.0
2627,Laura Bates,[33881],1,1531235,"['social change, gender, activism, women, violence']",1531235.0
4726,Zahra Al-Mahdi,[76207],1,1804248,"['culture, social change, creativity, storytelling, TED Fellows']",1804248.0
2629,Laura Boykin,[49114],1,1826575,"['science, technology, DNA, collaboration, food, Africa, community, TED Fellows, farming']",1826575.0
2630,Laura Caccia,[21152],1,5976,"['technology, creativity, poetry, code']",5976.0
2631,Laura Carstensen,[1424],1,1681279,"['culture, science, health, psychology, aging, happiness, personal growth, women, humanity, mental health, TEDx, emotions']",1681279.0
2632,Laura Fox,[5157],1,29419,"['relationships, communication, happiness, self, humanity, compassion, empathy, society, identity, curiosity']",29419.0
2633,Laura Galante,[2772],1,2729755,"['global issues, politics, technology, computers, future, communication, society, Internet, government, data, journalism, algorithm, policy, encryption, cyber security']",2729755.0
2634,Laura Gassner Otting,[98421],1,2903793,"['business, happiness, success, personal growth, mental health']",2903793.0
2635,Laura Indolfi,[2504],1,1494866,"['science, design, invention, entrepreneur, innovation, disease, health, health care, cancer, future, product design, medicine, potential, illness, TED Fellows, medical research']",1494866.0
2636,Laura L. Dunn,[15149],1,1233601,"['social change, gender, United States, law, society, TED Fellows, government, sexual violence, justice system']",1233601.0
2637,Laura Lane,[13020],1,61779,"['global issues, activism, war']",61779.0
2638,Laura Miele,[147329],1,397159,"['technology, relationships, communication, community, gaming, friendship']",397159.0
2639,Laura Robinson,[2390],1,1885702,"['climate change, environment, science, animals, nature, biology, future, history, biodiversity, exploration, water, ancient world, beauty, chemistry, TEDx, ecology, coral reefs, ocean']",1885702.0
2640,Laura Rovner,[50990],1,2446446,"['social change, humanity, law, society, prison, TEDx, justice system']",2446446.0
2641,Laura Schulz,[2265],1,2157858,"['science, education, cognitive science, brain, data, youth, behavioral economics, human body, kids']",2157858.0
2642,Laura Snyder,[1712],1,1363854,"['culture, science, technology, computers, innovation, history, philosophy, storytelling, activism, physics, math']",1363854.0
2643,Laura Tenenbaum,[79152],1,50295,[],50295.0
2644,Laura Trice,[349],1,3238346,"['culture, communication, parenting, happiness']",3238346.0
2645,Laura Vanderkam,[2647],1,16028338,"['time, happiness, work, personal growth, decision-making, work-life balance, goals']",16028338.0
2646,Laura Yawanawá,[51634],1,265007,"['social change, community, activism, humanity, society, South America, conservation, indigenous peoples']",265007.0
2647,Lauran Arledge,[2876],1,1239221,"['politics, communication, society, TEDx, friendship']",1239221.0
23,Abhishek Gopalka,[50930],1,2109087,"['business, health, health care, medicine, motivation, public health, india']",2109087.0
2649,Lauren Dunford,[148374],1,352673,"['sustainability, business, innovation, future, work, manufacturing']",352673.0
2650,Lauren Esposito,[27022],1,5064,"['science, biology, medicine, insects, medical research']",5064.0
2651,Lauren Fadiman,[148016],1,386257,"['climate change, culture, history, storytelling, Countdown']",386257.0
2652,Lauren Hodge,[1320],1,1118398,"['science, food, health, cancer, pollution, medicine, chemistry, TEDx, youth, code']",1118398.0
2653,Lauren Pharr,[17240],1,1511226,"['science, animals, nature, biology, crime, birds, TEDx, forensics']",1511226.0
24,Abigail Disney,[64771],1,1887738,"['business, social change, leadership, capitalism, trust, human rights, equality, ethics']",1887738.0
2655,Lauren Senior,[124933],1,53552,"['science, food, health, Africa, community']",53552.0
2656,Lauren Zalaznick,[1224],1,859875,"['culture, entertainment, television']",859875.0
2657,Laurie Garrett,[529],1,856792,"['technology, business, health, health care, history, Vaccines, ebola']",856792.0
2658,Laurie Santos,[927],1,3564032,"['science, design, business, economics, primates, psychology, brain, money']",3564032.0
2659,Lawrence Bernstein,[141240],1,938395,"['business, storytelling, communication, personal growth, TEDx, personality, public speaking']",938395.0
25,Abigail Marsh,[2584],1,2600480,"['science, cognitive science, communication, community, brain, self, humanity, mental health, empathy, fear, personality']",2600480.0
2661,Laxmi Parida,[9469],1,15087,"['biodiversity, math, agriculture']",15087.0
2662,Leah Buechley,[1609],1,831252,"['design, engineering, invention, innovation, art, youth, toys']",831252.0
2663,Leah Chase,[4490],1,1670626,"['interview, social change, food, history, activism, race, leadership, personal growth, women, society, family']",1670626.0
2664,Leah Garcés,[66401],1,1833253,"['social change, food, animals, activism, personal growth, TEDx']",1833253.0
2665,Leah Georges,[38268],1,2886888,"['business, collaboration, communication, leadership, success, work, personal growth, productivity, TEDx']",2886888.0
2666,Leana Wen,[2133],1,2289051,"['business, health care, medicine, ethics']",2289051.0
2667,Lear deBessonet with Brian Stokes Mitchell,[134733],1,492617,"['culture, entertainment, performance, collaboration, creativity, art, community, theater, public health']",492617.0
26,Abigail Spanberger,[51540],1,81217,"['global issues, politics, communication, empathy, society']",81217.0
2669,Lee Hotz,[938],1,659944,"['climate change, science, journalism, Antarctica']",659944.0
2670,Lee Mokobe,[2281],1,1782219,"['gender, poetry, spoken word, TED Fellows, Transgender']",1782219.0
2671,Lee Smolin,[394],1,336489,"['global issues, politics, science, social change, community, physics, String theory']",336489.0
2672,Lee Thomas,[46599],1,2752862,"['social change, disease, communication, motivation, humanity, society, television, human body']",2752862.0
2673,Lei Cheng,[148340],1,298617,"['creativity, happiness, personal growth, society, prison']",298617.0
2674,Lei Li,[87245],1,691316,"['science, health, health care, sound, medical research, medical imaging']",691316.0
2675,Lei Zhang,[157985],1,304918,"['climate change, sustainability, technology, innovation, future, energy, Countdown, renewable energy']",304918.0
2676,Leila Hoteit,[2547],1,4430094,"['business, leadership, work, women, women in business, Middle East']",4430094.0
2677,Leila Pirhaji,[50637],1,2009711,"['technology, biotech, disease, medicine, AI, TED Fellows, medical research, algorithm']",2009711.0
2678,Leila Seth,[21936],1,1289086,"['global issues, social change, gender, women, money, finance, india']",1289086.0
2679,Leila Takayama,[8780],1,1257463,"['technology, design, invention, innovation, robots, future, TEDx']",1257463.0
2680,Leili Anvar,[126449],1,580474,"['history, poetry, language, humanity, Middle East']",580474.0
2681,Leland Melvin,[31849],1,1903531,"['sports, personal growth, space, humanity, society']",1903531.0
2682,Lemn Sissay,[1596],1,1037885,"['culture, poetry, spoken word, TEDx, kids']",1037885.0
2683,Lemon Andersen,[1625],1,1579403,"['performance, poetry, spoken word']",1579403.0
2684,Lena Dumont,[8428],1,18659,"['business, happiness, success, investing']",18659.0
2685,Lennart Green,[327],1,6630052,"['entertainment, illusion, humor, magic']",6630052.0
2686,Lenore Skenazy,[153162],1,492163,"['education, social change, parenting, personal growth, family, kids']",492163.0
2687,Leo Igwe,[12370],1,1340074,"['collaboration, Africa, community, religion, humanity, society']",1340074.0
2688,Leo Lanna,[96950],1,298416,"['environment, science, animals, nature, biodiversity, South America, conservation']",298416.0
2689,Leo Villareal,[147273],1,351705,"['design, computers, architecture, cities, creativity, art, community, beauty, public space']",351705.0
2690,Leon Marchal,[54125],1,2265390,"['global issues, disease, health, medicine, public health, microbiology']",2265390.0
2691,Leonard Susskind,[1145],1,1685452,"['culture, science, history, storytelling, physics, TEDx']",1685452.0
2692,Leopoldo Lopez,[139914],1,562484,"['politics, social change, communication, activism, democracy, government']",562484.0
2693,Leor Weinberger,[66761],1,223491,"['science, disease, health, health care, biology, medicine, AIDS, illness, public health, Vaccines, virus, medical research, TEDMED']",223491.0
2694,Lera Boroditsky,[12727],1,25360945,"['science, cognitive science, communication, language, brain, humanity, sound']",25360945.0
27,Abigail Washburn,[1420],1,1077126,"['culture, entertainment, music, performance, Asia, china, TED Fellows']",1077126.0
2696,Leslie Dodson,[1292],1,206892,"['media, Africa, poverty, TEDx, journalism']",206892.0
2697,Leslie Herod,[73954],1,1445962,"['social change, community, United States, mental health, empathy, TEDx, policy, justice system']",1445962.0
2698,Leslie Morgan Steiner,[1654],1,8575054,"['culture, global issues, social change, gender, love, relationships, women, violence, TEDx']",8575054.0
2699,Leslie Perlow,[6061],1,34511,"['technology, collaboration, communication, work, sociology, productivity, work-life balance']",34511.0
2700,Leslie T. Chang,[1554],1,1711779,"['culture, global issues, economics, consumerism, Asia, china, women']",1711779.0
2701,Let It Happen,[86535],1,12181,"['music, performance, Countdown']",12181.0
28,Abraham Verghese,[1231],1,2180064,"['culture, science, health, health care, communication, medicine']",2180064.0
29,Achenyo Idachaba,[2407],1,1913077,"['environment, sustainability, engineering, business, innovation, Africa, nature, creativity, product design, potential, water, women in business, agriculture, botany, plants']",1913077.0
2704,Lewis Bollard,[159975],1,297218,"['environment, food, animals, farming, ethics']",297218.0
31,Achin Bhowmik,[19752],1,10748,"['technology, computers, machine learning']",10748.0
2706,Leyla Acaroglu,[1926],1,1523804,"['sustainability, design']",1523804.0
2707,Leymah Gbowee,[1403],1,1469359,"['global issues, social change, women']",1469359.0
2708,Li Wei Tan,[29746],1,608005,"['science, technology, nature, medicine, demo, math']",608005.0
2709,Li-Huei Tsai,[82946],1,2804819,"[""science, technology, music, aging, brain, Alzheimer's""]",2804819.0
2710,Liam Young,[81389],1,2247215,"['climate change, science, urban planning, future, film, humanity, virtual reality, science fiction']",2247215.0
2711,Lian Pin Koh,[1872],1,702920,"['global issues, sustainability, animals, drones']",702920.0
2712,Liana Finck,[118065],1,1036563,"['creativity, art, storytelling, religion, personal growth, humanity, humor, emotions']",1036563.0
2713,Lidia Yuknavitch,[2508],1,4503297,"['creativity, personal growth, self, humanity, writing, TED Books, beauty, identity, books']",4503297.0
2714,Liene Ozoliņa,[66344],1,1704262,"['business, economics, social change, society, TEDx, policy, equality']",1704262.0
2715,Lil Buck,[2851],1,347743,"['performance, creativity, art, dance']",347743.0
2716,Lili Haydn,[19893],1,786630,"['music, performance, death, emotions']",786630.0
2717,Lilly Singh,[88795],1,2591160,"['culture, social change, gender, women, equality']",2591160.0
2718,Lily Tomlin,[2394],1,4447087,"['interview, gender, relationships, aging, personal growth, comedy, self, women, humanity, humor, identity, friendship']",4447087.0
32,Adam Aleksic,[148344],1,608536,"['culture, technology, media, communication, language, social media, TEDx, youth, algorithm']",608536.0
2720,Linda Cliatt-Wayman,[2276],1,2561431,"['education, leadership, poverty, teaching']",2561431.0
2721,Linda Hill,[2210],1,3199192,"['business, collaboration, creativity, leadership, TEDx']",3199192.0
2722,Linda Liukas,[2417],1,2206019,"['technology, design, computers, software, education, creativity, future, storytelling, product design, parenting, TEDx, Internet, algorithm, code']",2206019.0
2723,Linda Zhang,[10556],1,65124,"['entrepreneur, education, youth']",65124.0
2724,Linden Vazey,[91792],1,74258,"['business, leadership, work, personal growth, self']",74258.0
33,Adam Alter,[2815],1,4733412,"['technology, computers, software, psychology, social media, addiction, UX design']",4733412.0
2726,Lindsay Amer,[43200],1,2691426,"['music, performance, education, gender, activism, parenting, teaching, kids, LGBTQIA+']",2691426.0
2727,Lindsay Levin,[124190],1,734546,"['technology, business, interview, innovation, health care, leadership, work, AI, drugs']",734546.0
2728,Lindsay Malloy,[19727],1,1664510,"['social change, cognitive science, psychology, United States, law, society, crime, prison, TEDx, government, policy, justice system, kids']",1664510.0
2729,Lindsay Morcom,[61991],1,2144326,"['culture, education, history, language, TEDx, policy, indigenous peoples']",2144326.0
2730,Lindsay Morris,[125620],1,519419,"['social change, community, photography, personal growth, family, identity, Transgender, LGBTQIA+']",519419.0
2731,Lindsey A. Sherrill,[109633],1,1248342,"['culture, entertainment, media, social change, history, personal growth, society, TEDx, books, ethics, TV']",1248342.0
2732,Lindsey Schneider,[100241],1,1460667,"['environment, social change, nature, activism, TEDx, policy, conservation, indigenous peoples']",1460667.0
2733,Lindy Lou Isonhood,[32265],1,1838318,"['culture, social change, law, society, crime, prison, justice system']",1838318.0
2734,Linus Torvalds,[2464],1,8587874,"['technology, engineering, invention, computers, interview, communication, Internet, data, code']",8587874.0
2735,Lisa Bu,[1755],1,6845998,"['culture, entertainment, creativity, library, literature, personality']",6845998.0
2736,Lisa Dazols,[2370],1,2902034,"['global issues, social change, gender, love, relationships, film, travel, society, Transgender, LGBTQIA+']",2902034.0
