,speaker,video_ids,videos,views,topics,average_views
699,Carole Cadwalladr,"[148289, 39331, 148297]",3,7286968,"['politics, technology, media, AI, law, democracy, social media, Internet, government, data, journalism', 'culture, global issues, politics, social change, future, history, leadership, law, society, democracy, social media, Internet, government, data', 'politics, technology, social change, activism, democracy, social media, Internet, government, data, journalism, protest']",2428989.33
1430,Esther Perel,"[74840, 2252, 1669]",3,49117861,"['health, psychology, relationships, communication, community, work, personal growth, empathy, pandemic, emotions, coronavirus', 'culture, love, relationships, sex']",16372620.33
504,Beck Brachman,"[157723, 19831, 2648]",3,4467445,"['science, disease, health, medicine, brain, humanity, depression, mental health, chemistry, TED Fellows, neuroscience, medical research, PTSD, drugs', 'science, health, health care, history, happiness, medicine, brain, humanity, illness, depression, mental health, chemistry, neuroscience, TEDx, medical research, PTSD, drugs', 'science, innovation, disease, health, cancer, psychology, medicine, medical research']",1489148.33
1066,David Deutsch,"[50792, 666, 47]",3,6674867,"['science, technology, history, philosophy, religion, universe, physics, ancient world', 'science, evolution, future, universe, physics, Planets, space', 'climate change, culture, environment, global issues, science, technology, universe, physics']",2224955.67
289,Andrew Solomon,"[2005, 1894, 1756]",3,27087628,"['culture, love, mental health, family, disability, kids', 'culture, medicine, depression, mental health, suicide, TEDx', 'culture, health, gender, depression, identity, LGBTQIA+']",9029209.33
1354,Emily Nagoski,"[49356, 20084, 15813]",3,7625510,"['science, love, relationships, communication, humanity, empathy, sex, TEDx, friendship', 'relationships, personal growth, self, sex, identity', 'science, social change, brain, humanity, sex, society, sexual violence, human body']",2541836.67
1682,Guy Winch,"[53740, 9987, 2193]",3,35243659,"['health, psychology, self, mental health, TEDx, mindfulness', 'time, happiness, work, personal growth, decision-making, work-life balance, goals', 'social change, love, personal growth, humanity, depression, compassion, identity, addiction']",11747886.33
293,Andrew Youn,"[74773, 19729, 2522]",3,1673665,"['technology, social change, poverty, women, agriculture, farming, The Audacious Project, international development', 'global issues, innovation, food, Africa, future, community, activism, poverty, society, agriculture, farming, The Audacious Project, international development', 'global issues, innovation, food, Africa, future, community, activism, poverty, society, agriculture, farming, international development']",557888.33
1756,Helen Fisher,"[307, 2590, 16]",3,22812988,"['technology, love, relationships, communication, anthropology, personal growth, humanity, compassion, society, Internet, personality', 'culture, science, cognitive science, evolution, gender, love, psychology, relationships', 'culture, science, technology, cognitive science, love, psychology, relationships, poetry, brain, literature']",7604329.33
1105,David Pogue,"[1725, 196, 7]",3,8024369,"['technology, entertainment, music, humor', 'technology, computers, entertainment, media, music, performance, software, UX design', 'culture, technology']",2674789.67
